T,v,p
220,0.0006871935776645771,24432.639622710667
222,0.0006898650285110133,27529.40113888845
224,0.0006925682019689306,30939.63387634665
226,0.0006953040100034581,34686.44268622489
228,0.0006980734026333879,38793.899809354945
230,0.0007008773699835035,43287.040917712526
232,0.0007037169444827289,48191.85947787547
234,0.0007065932032200285,53535.29955286044
236,0.0007095072704711248,59345.24716440116
238,0.0007124603204104405,65650.52034224651
240,0.0007154535800241044,72480.85799050918
242,0.0007184883322415307,79866.90770355082
244,0.0007215659193048285,87840.21266548517
246,0.0007246877463973911,96433.19776817647
248,0.0007278552855552535,105679.15508274065
250,0.0007310700798873371,115612.22881910387
252,0.0007343337481335817,126267.39990724015
254,0.0007376479895931855,137680.47033239563
256,0.0007410145894587788,149888.04735501012
258,0.0007444354245964765,162927.5277442573
260,0.0007479124698163691,176837.08215224187
262,0.0007514478046833081,191655.63975400128
264,0.0007550436209237789,207422.87327666397
266,0.0007587022304914736,224179.18453951387
268,0.0007624260743619685,241965.6906253566
270,0.0007662177321357709,260824.21080265232
272,0.0007700799325391938,280797.2543174069
274,0.0007740155649242506,301928.00917392696
276,0.0007780276918822741,324260.3320243864
278,0.000782119563101552,347838.7392888399
280,0.0007862946306174249,372708.39962994744
282,0.0007905565656243102,398915.1279105083
284,0.0007949092770437251,426505.38076700544
286,0.0007993569320711651,455526.25393902464
288,0.0008039039789585059,486025.4815028464
290,0.0008085551723285526,518051.43716798624
292,0.0008133156013656782,551653.137808334
294,0.0008181907212827833,586880.249415196
296,0.000823186388532277,623783.0956783965
298,0.0008283089003096618,662412.6694243456
300,0.0008335650389962883,702820.6471670809
302,0.0008389621223067853,745059.4070607544
304,0.0008445080600521428,789182.0505807071
306,0.0008502114186083904,835242.4283063983
308,0.000856081494402442,883295.170234448
310,0.0008621283980029467,933395.7211156263
312,0.0008683631507507863,985600.381388118
314,0.0008747977963024472,1039966.3543730952
316,0.0008814455300179514,1096551.8005112936
318,0.0008883208498418662,1155415.8995545642
320,0.0008954397332527095,1216618.9217896217
322,0.0009028198460640602,1280222.3095687986
324,0.0009104807904475368,1346288.770662956
326,0.0009184444016501587,1414882.3852451688
328,0.0009267351056877227,1486068.7286750055
330,0.0009353803540844445,1559915.0127004753
332,0.0009444111568896506,1636490.248254125
334,0.0009538627423081659,1715865.4337269696
336,0.0009637753811844982,1798113.773509436
338,0.0009741954285711541,1883310.9327662475
340,0.0009851766546795414,1971535.3359704262
342,0.0009967819668023053,2062868.5188246965
344,0.0010090856673982053,2157395.5460990933
346,0.0010221764599071727,2255205.512010306
348,0.0010361615175107442,2356392.1457032035
350,0.0010511720966407065,2461054.5532331755
352,0.0010673714537519858,2569298.1410068176
354,0.001084966301239213,2681235.7871307544
356,0.0011042238988686693,2796989.362457281
358,0.001125498510522847,2916691.763710653
360,0.0011492742545541573,3040489.730221101
220,0.722016453424621,24432.639622710667
222,0.6457095168900664,27529.40113888845
224,0.5788434326533617,30939.63387634665
226,0.520096598241837,34686.44268622489
228,0.46835190998328785,38793.899809354945
230,0.4226623405883176,43287.040917712526
232,0.38222274691489855,48191.85947787547
234,0.34634670610307994,53535.29955286044
236,0.3144474236480753,59345.24716440116
238,0.28602194962741373,65650.52034224651
240,0.2606380910851686,72480.85799050918
242,0.237923528586826,79866.90770355082
244,0.2175567401669555,87840.21266548517
246,0.1992594116749267,96433.19776817647
248,0.18279007303998476,105679.15508274065
250,0.16793874845448276,115612.22881910387
252,0.15452244742760507,126267.39990724015
254,0.14238135505689703,137680.47033239563
256,0.13137560524246755,149888.04735501012
258,0.12138254114119658,162927.5277442573
260,0.11229438388231867,176837.08215224187
262,0.10401624419862732,191655.63975400128
264,0.09646442277042819,207422.87327666397
266,0.08956495421096215,224179.18453951387
268,0.0832523571245854,241965.6906253566
270,0.07746855884858975,260824.21080265232
272,0.07216196859199718,280797.2543174069
274,0.06728667690783609,301928.00917392696
276,0.06280176293904194,324260.3320243864
278,0.05867069379151913,347838.7392888399
280,0.054860802815951216,372708.39962994744
282,0.051342835607961455,398915.1279105083
284,0.04809055423378742,426505.38076700544
286,0.04508039161258588,455526.25393902464
288,0.042291149183402085,486025.4815028464
290,0.03970373199296328,518051.43716798624
292,0.03730091619124789,551653.137808334
294,0.03506714464119183,586880.249415196
296,0.03298834695836286,623783.0956783965
298,0.031051780813713473,662412.6694243456
300,0.029245891772358635,702820.6471670809
302,0.027560189315955268,745059.4070607544
304,0.0259851370158937,789182.0505807071
306,0.024512055097662244,835242.4283063983
308,0.02313303387052551,883295.170234448
310,0.021840856697025696,933395.7211156263
312,0.02062893134875266,985600.381388118
314,0.019491228742528434,1039966.3543730952
316,0.0184222281781042,1096551.8005112936
318,0.01741686830761624,1155415.8995545642
320,0.016470503160828553,1216618.9217896217
322,0.015578862630625563,1280222.3095687986
324,0.014738016891950118,1346288.770662956
326,0.013944344285712805,1414882.3852451688
328,0.013194502248084971,1486068.7286750055
330,0.012485400905649896,1559915.0127004753
332,0.011814178988340888,1636490.248254125
334,0.011178181734670861,1715865.4337269696
336,0.010574940476526726,1798113.773509436
338,0.010002153591871784,1883310.9327662475
340,0.009457668499724695,1971535.3359704262
342,0.008939464337075733,2062868.5188246965
344,0.008445634892397186,2157395.5460990933
346,0.007974371258873859,2255205.512010306
348,0.007523943484350416,2356392.1457032035
350,0.007092680184345057,2461054.5532331755
352,0.006678944557517871,2569298.1410068176
354,0.0062811043239450835,2681235.7871307544
356,0.005897491442584834,2796989.362457281
358,0.005526344306305691,2916691.763710653
360,0.005165718760607326,3040489.730221101
